X,Y,Z
3.801758653868287041e+01,1.410440331996385055e+01,2.703546161134710246e+00
3.787839074564674746e+01,1.416960210676593057e+01,2.703546161134709358e+00
3.773919495261063162e+01,1.423480089356801237e+01,2.703546161134708470e+00
3.755333249395092565e+01,1.444666634375850300e+01,1.878849107818674202e+00
3.750666582832733553e+01,1.459333300714691539e+01,1.878849107818673092e+00
3.745999916270375252e+01,1.473999967053532600e+01,1.878849107818671760e+00
3.741333249708016240e+01,1.488666633392373839e+01,1.878849107818674202e+00
3.736666583145657938e+01,1.503333299731214900e+01,1.878849107818673092e+00
3.731999916583299637e+01,1.517999966070055962e+01,1.878849107818673092e+00
3.727333250020941335e+01,1.532666632408897200e+01,1.878849107818673092e+00
3.722666583458582323e+01,1.547333298747738262e+01,1.878849107818673092e+00
3.717999916896224022e+01,1.561999965086579323e+01,1.878849107818673092e+00
3.717999916896224022e+01,1.561999965086579323e+01,1.878849107818673092e+00
3.713333250333865720e+01,1.576666631425420384e+01,1.878849107818673980e+00
3.708666583771506708e+01,1.591333297764261623e+01,1.878849107818671982e+00
3.703999917209148407e+01,1.605999964103102684e+01,1.878849107818673092e+00
3.699333250646790106e+01,1.620666630441943923e+01,1.878849107818670650e+00
3.694666584084431094e+01,1.635333296780784806e+01,1.878849107818671760e+00
3.684615302257812886e+01,1.664076885881905454e+01,1.936137989706098184e+00
3.679230686993552979e+01,1.678153808644184863e+01,1.936137989706098406e+00
3.673846071729293072e+01,1.692230731406464272e+01,1.936137989706099294e+00
3.668461456465033166e+01,1.706307654168743326e+01,1.936137989706099294e+00
3.663076841200773259e+01,1.720384576931022735e+01,1.936137989706099294e+00
3.663076841200773259e+01,1.720384576931022735e+01,1.936137989706099516e+00
3.657692225936513353e+01,1.734461499693302144e+01,1.936137989706099516e+00
3.652307610672253446e+01,1.748538422455581554e+01,1.936137989706099516e+00
3.646922995407993540e+01,1.762615345217860607e+01,1.936137989706097740e+00
3.641538380143733633e+01,1.776692267980140016e+01,1.936137989706097740e+00
3.636153764879473727e+01,1.790769190742419426e+01,1.936137989706097740e+00
3.630769149615214531e+01,1.804846113504698835e+01,1.936137989706097740e+00
3.625384534350954624e+01,1.818923036266978244e+01,1.936137989706098184e+00
3.619999919086694717e+01,1.832999959029257298e+01,1.936137989706097740e+00
3.614615303822434811e+01,1.847076881791536707e+01,1.936137989706097740e+00
3.609230688558174904e+01,1.861153804553816116e+01,1.936137989706097740e+00
3.603846073293914998e+01,1.875230727316095525e+01,1.936137989706098184e+00
3.603846073293914998e+01,1.875230727316095525e+01,1.936137989706098184e+00
3.598461458029655091e+01,1.889307650078374934e+01,1.936137989706097740e+00
3.593076842765395895e+01,1.903384572840653988e+01,1.936137989706097517e+00
3.587692227501135989e+01,1.917461495602933397e+01,1.936137989706097295e+00
3.582307612236876082e+01,1.931538418365212806e+01,1.936137989706099960e+00
3.576922996972616176e+01,1.945615341127492215e+01,1.936137989706099960e+00
3.571538381708356269e+01,1.959692263889771269e+01,1.936137989706099072e+00
3.566153766444096362e+01,1.973769186652050678e+01,1.936137989706099072e+00
3.566153766444096362e+01,1.973769186652050678e+01,1.936137989706098850e+00
3.560769151179836456e+01,1.987846109414330087e+01,1.936137989706098850e+00
3.555384535915576549e+01,2.001923032176609141e+01,1.936137989706098850e+00
3.549999920651316643e+01,2.015999954938888550e+01,1.936137989706098628e+00
3.536876622569739936e+01,2.024430493808120701e+01,2.570571576832171523e+00
3.523753324488162519e+01,2.032861032677352853e+01,2.570571576832171523e+00
3.510630026406585813e+01,2.041291571546585004e+01,2.570571576832171523e+00
3.497506728325009107e+01,2.049722110415817156e+01,2.570571576832171523e+00
3.484383430243432400e+01,2.058152649285049307e+01,2.570571576832171079e+00
3.484383430243432400e+01,2.058152649285049307e+01,2.570571576832171523e+00
3.471260132161854983e+01,2.066583188154281814e+01,2.570571576832171079e+00
3.458136834080278277e+01,2.075013727023513965e+01,2.570571576832171079e+00
3.445013535998700860e+01,2.083444265892746472e+01,2.571519521817202669e+00
3.431890237917124153e+01,2.091874804761978623e+01,2.572348482309603224e+00
3.431890237917124153e+01,2.091874804761978623e+01,2.573236144446017892e+00
3.418766939835546737e+01,2.100305343631211130e+01,2.574123278275372684e+00
3.405643641753970030e+01,2.108735882500443282e+01,2.575009882874063294e+00
3.392520343672392613e+01,2.117166421369675788e+01,2.575895957322911212e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.576781500707169492e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.577250102483580108e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.578082803741185813e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.578915032589664147e+00
3.366273747509239200e+01,2.134027499108140091e+01,2.579746788279083436e+00
3.352968474752969286e+01,2.142311245579600154e+01,2.580578070062983009e+00
3.339663201996699371e+01,2.150594992051060217e+01,2.580808897465820095e+00
3.326357929240430167e+01,2.158878738522520280e+01,2.581408877198371865e+00
3.313052656484160252e+01,2.167162484993980343e+01,2.582239208945729558e+00
3.299747383727890337e+01,2.175446231465440405e+01,2.582965358679201628e+00
3.286442110971620423e+01,2.183729977936900468e+01,2.583787887078023093e+00
3.273136838215350508e+01,2.192013724408360531e+01,2.583787887078023093e+00
3.259831565459080593e+01,2.200297470879820594e+01,2.583787887078022649e+00
3.246526292702810679e+01,2.208581217351280657e+01,2.583787887078023093e+00
3.233221019946540764e+01,2.216864963822740719e+01,2.584727344516413616e+00
3.219915747190270849e+01,2.225148710294200782e+01,2.584727344516413616e+00
3.206610474434000935e+01,2.233432456765660845e+01,2.584727344516413172e+00
3.193305201677731020e+01,2.241716203237120908e+01,2.584727344516415393e+00
3.193305201677731020e+01,2.241716203237120908e+01,2.584727344516415393e+00
3.165294046897221847e+01,2.254117596675367707e+01,2.868583950503083901e+00
3.150588164872982944e+01,2.258235243642154799e+01,2.868583950503082569e+00
3.135882282848744040e+01,2.262352890608941891e+01,2.868583950503083901e+00
3.121176400824504782e+01,2.266470537575728628e+01,2.868583950503083013e+00
3.106470518800265523e+01,2.270588184542515364e+01,2.868583950503082569e+00
3.091764636776026620e+01,2.274705831509302456e+01,2.868583950503083013e+00
3.077058754751787717e+01,2.278823478476089548e+01,2.868583950503082569e+00
3.062352872727548458e+01,2.282941125442876285e+01,2.868583950503082569e+00
3.062352872727548458e+01,2.282941125442876285e+01,2.868583950503082569e+00
3.047646990703309200e+01,2.287058772409663376e+01,2.868583950503082569e+00
3.032941108679070297e+01,2.291176419376450113e+01,2.868583950503081681e+00
3.018235226654831038e+01,2.295294066343237205e+01,2.868583950503082569e+00
3.003529344630592135e+01,2.299411713310024297e+01,2.868583950503083457e+00
2.988823462606352876e+01,2.303529360276811033e+01,2.868583950503082125e+00
